HomeTeam,AwayTeam,HomeScore,AwayScore,Date,Competition,Country,Matchday
Internacional,Real Madrid Castilla,2,1,2019-03-03,Segunda B,Spain,27
Ponferradina,Pontevedra,1,0,2019-03-03,Segunda B,Spain,27
UP Langreo,Santander,2,1,2019-03-03,Segunda B,Spain,27
Lida,Badalona,0,0,2019-03-03,Segunda B,Spain,27
Torrelavega,Real Oviedo II,2,1,2019-03-03,Segunda B,Spain,27
UD Ibiza,San Fernando,1,1,2019-03-03,Segunda B,Spain,27
CD Badajoz,CF Talavera,0,0,2019-03-02,Segunda B,Spain,27
Sporting Gijon,CDIzarra,0,0,2019-03-02,Segunda B,Spain,27
SD Amorebieta,SD Gernika,3,1,2019-03-02,Segunda B,Spain,27
Athletic Bilbao B,Real Sociedad B,2,2,2019-03-02,Segunda B,Spain,27
Hercules,Valencia CFB,2,1,2019-03-02,Segunda B,Spain,27
Atletico Madrid B,Internacional,1,0,2019-02-24,Segunda B,Spain,26
Real Oviedo II,CD Tudelano,2,1,2019-02-24,Segunda B,Spain,26
Cornella,Castellon,2,2,2019-02-24,Segunda B,Spain,26
San Fernando,Murcia Feminas,2,1,2019-02-24,Segunda B,Spain,26
Levante B,Hercules,1,1,2019-02-24,Segunda B,Spain,26
Badalona,UE Olot,0,0,2019-02-24,Segunda B,Spain,26
Salamanca,CDANavalcarnero,1,0,2019-02-24,Segunda B,Spain,26
UD San Sebastian Reyes,Salmantino Salamanca II,0,1,2019-02-24,Segunda B,Spain,26
CDIzarra,UP Langreo,0,0,2019-02-24,Segunda B,Spain,26
CF Talavera,Villanovense,1,0,2019-02-24,Segunda B,Spain,26
Don Benito,Melilla,0,0,2019-02-24,Segunda B,Spain,26
Atletico Baleares,Barcelona B,1,0,2019-02-24,Segunda B,Spain,26
Marbella,CD Badajoz,0,0,2019-02-24,Segunda B,Spain,26
Cartagena FC,Malaga B,3,1,2019-02-24,Segunda B,Spain,26
Real Sociedad B,Real Union Irun,2,1,2019-02-24,Segunda B,Spain,26
RCD Espanyol B,CESabadell,3,0,2019-02-24,Segunda B,Spain,26
Ebro,Ejea,0,0,2019-02-24,Segunda B,Spain,26
Pontevedra,Fuenlabrada,3,0,2019-02-24,Segunda B,Spain,26
UCAM Murcia,Almeria B,2,0,2019-02-24,Segunda B,Spain,26
Coruxo FC,Burgos,3,1,2019-02-24,Segunda B,Spain,26
Cultural Leonesa,Adarve,3,0,2019-02-24,Segunda B,Spain,26
Poli Ejido,UD Ibiza,0,0,2019-02-24,Segunda B,Spain,26
Valencia CFB,Lida,2,3,2019-02-24,Segunda B,Spain,26
CA Linense,At Sanluqueno,1,0,2019-02-24,Segunda B,Spain,26
Las Palmas Atletico,Celta Vigo B,1,2,2019-02-24,Segunda B,Spain,26
Arenas Getxo,Sporting Gijon,1,1,2019-02-23,Segunda B,Spain,26
Santander,BarakaldoCF,1,0,2019-02-23,Segunda B,Spain,26
UD Logrones,Athletic Bilbao B,2,1,2019-02-23,Segunda B,Spain,26
Deportivo La Coruna B,CDGuijuelo,0,1,2019-02-23,Segunda B,Spain,26
Granada CFB,Sevilla Atletico,1,2,2019-02-23,Segunda B,Spain,26
Mirandes,Calahorra,4,1,2019-02-23,Segunda B,Spain,26
Leioa SD,SD Amorebieta,0,0,2019-02-23,Segunda B,Spain,26
Real Madrid Castilla,RealValladolidB,3,2,2019-02-23,Segunda B,Spain,26
Sporting Gijon,Mirandes,0,2,2019-02-17,Segunda B,Spain,25
Alcoyano,Ebro,0,1,2019-02-17,Segunda B,Spain,25
Melilla,Granada CFB,1,1,2019-02-17,Segunda B,Spain,25
Badalona,Valencia CFB,1,0,2019-02-17,Segunda B,Spain,25
Villanovense,Marbella,0,0,2019-02-17,Segunda B,Spain,25
Lida,Levante B,2,0,2019-02-17,Segunda B,Spain,25
BarakaldoCF,CDIzarra,1,0,2019-02-17,Segunda B,Spain,25
Ponferradina,Coruxo FC,1,1,2019-02-17,Segunda B,Spain,25
CDANavalcarnero,Real Madrid Castilla,2,3,2019-02-17,Segunda B,Spain,25
CD Badajoz,San Fernando,2,0,2019-02-17,Segunda B,Spain,25
Almeria B,Cartagena FC,2,2,2019-02-17,Segunda B,Spain,25
CESabadell,VillarrealB,1,1,2019-02-17,Segunda B,Spain,25
CD Tudelano,SD Gernika,0,0,2019-02-17,Segunda B,Spain,25
Rec de Huelva,UD Ibiza,0,0,2019-02-17,Segunda B,Spain,25
Adarve,CDGuijuelo,0,1,2019-02-17,Segunda B,Spain,25
Celta Vigo B,Pontevedra,0,1,2019-02-17,Segunda B,Spain,25
Malaga B,Don Benito,0,2,2019-02-17,Segunda B,Spain,25
Cultural Leonesa,Salamanca,1,1,2019-02-17,Segunda B,Spain,25
At Sanluqueno,CF Talavera,1,0,2019-02-17,Segunda B,Spain,25
Torrelavega,Leioa SD,1,1,2019-02-17,Segunda B,Spain,25
Burgos,UD San Sebastian Reyes,0,2,2019-02-17,Segunda B,Spain,25
UP Langreo,Arenas Getxo,1,0,2019-02-17,Segunda B,Spain,25
Sevilla Atletico,CA Linense,2,0,2019-02-17,Segunda B,Spain,25
Castellon,CD Teruel,1,1,2019-02-17,Segunda B,Spain,25
Ejea,RCD Espanyol B,1,1,2019-02-17,Segunda B,Spain,25
Internacional,Las Palmas Atletico,2,0,2019-02-17,Segunda B,Spain,25
Calahorra,Real Sociedad B,0,1,2019-02-17,Segunda B,Spain,25
Real Union Irun,UD Logrones,0,0,2019-02-17,Segunda B,Spain,25
Salmantino Salamanca II,Deportivo La Coruna B,0,0,2019-02-17,Segunda B,Spain,25
UE Olot,Barcelona B,1,1,2019-02-17,Segunda B,Spain,25
Murcia Feminas,Poli Ejido,1,1,2019-02-17,Segunda B,Spain,25
Athletic Bilbao B,Real Oviedo II,4,1,2019-02-16,Segunda B,Spain,25
Conquense,Atletico Baleares,0,1,2019-02-16,Segunda B,Spain,25
RealValladolidB,Atletico Madrid B,1,1,2019-02-16,Segunda B,Spain,25
Hercules,Cornella,1,0,2019-02-16,Segunda B,Spain,25
Victoria,SD Amorebieta,1,2,2019-02-16,Segunda B,Spain,25
Real Oviedo II,Real Union Irun,1,1,2019-02-10,Segunda B,Spain,24
Atletico Baleares,Peralada,1,0,2019-02-10,Segunda B,Spain,24
Granada CFB,Malaga B,0,0,2019-02-10,Segunda B,Spain,24
Real Madrid Castilla,Cultural Leonesa,2,2,2019-02-10,Segunda B,Spain,24
UD San Sebastian Reyes,Ponferradina,1,0,2019-02-10,Segunda B,Spain,24
CF Talavera,Sevilla Atletico,2,1,2019-02-10,Segunda B,Spain,24
Mirandes,UP Langreo,1,0,2019-02-10,Segunda B,Spain,24
Valencia CFB,UE Olot,2,0,2019-02-10,Segunda B,Spain,24
Coruxo FC,Fuenlabrada,1,1,2019-02-10,Segunda B,Spain,24
Marbella,At Sanluqueno,1,0,2019-02-10,Segunda B,Spain,24
RCD Espanyol B,Alcoyano,0,1,2019-02-10,Segunda B,Spain,24
UCAM Murcia,Rec de Huelva,1,5,2019-02-10,Segunda B,Spain,24
CD Teruel,Hercules,0,0,2019-02-10,Segunda B,Spain,24
Pontevedra,Internacional,2,2,2019-02-10,Segunda B,Spain,24
Rapido Bouzas,Celta Vigo B,0,1,2019-02-10,Segunda B,Spain,24
Cornella,Lida,0,0,2019-02-10,Segunda B,Spain,24
Deportivo La Coruna B,Burgos,2,0,2019-02-10,Segunda B,Spain,24
Don Benito,Almeria B,1,0,2019-02-10,Segunda B,Spain,24
CDIzarra,Durango,1,1,2019-02-10,Segunda B,Spain,24
Atletico Madrid B,CDANavalcarnero,3,0,2019-02-10,Segunda B,Spain,24
CA Linense,Melilla,1,2,2019-02-10,Segunda B,Spain,24
Poli Ejido,CD Badajoz,0,2,2019-02-10,Segunda B,Spain,24
CDGuijuelo,Salmantino Salamanca II,1,0,2019-02-10,Segunda B,Spain,24
Ebro,Castellon,0,0,2019-02-10,Segunda B,Spain,24
Las Palmas Atletico,RealValladolidB,0,1,2019-02-10,Segunda B,Spain,24
UD Ibiza,Murcia Feminas,3,2,2019-02-10,Segunda B,Spain,24
UD Logrones,Calahorra,1,1,2019-02-10,Segunda B,Spain,24
Levante B,Badalona,1,2,2019-02-10,Segunda B,Spain,24
San Fernando,Villanovense,2,0,2019-02-10,Segunda B,Spain,24
VillarrealB,Ejea,0,0,2019-02-09,Segunda B,Spain,24
Real Sociedad B,Sporting Gijon,3,1,2019-02-09,Segunda B,Spain,24
Salamanca,Adarve,0,1,2019-02-09,Segunda B,Spain,24
Leioa SD,CD Tudelano,1,2,2019-02-09,Segunda B,Spain,24
SD Gernika,Athletic Bilbao B,2,1,2019-02-09,Segunda B,Spain,24
SD Amorebieta,Torrelavega,1,1,2019-02-09,Segunda B,Spain,24
Barcelona B,Conquense,1,2,2019-02-09,Segunda B,Spain,24
Arenas Getxo,BarakaldoCF,2,1,2019-02-09,Segunda B,Spain,24
Adarve,Salmantino Salamanca II,0,1,2019-02-03,Segunda B,Spain,23
BarakaldoCF,Mirandes,1,1,2019-02-03,Segunda B,Spain,23
CD Tudelano,SD Amorebieta,0,2,2019-02-03,Segunda B,Spain,23
UE Olot,Conquense,2,0,2019-02-03,Segunda B,Spain,23
UCAM Murcia,Cartagena FC,1,3,2019-02-03,Segunda B,Spain,23
Sporting Gijon,UD Logrones,0,2,2019-02-03,Segunda B,Spain,23
CDANavalcarnero,Las Palmas Atletico,0,1,2019-02-03,Segunda B,Spain,23
UP Langreo,Real Sociedad B,1,0,2019-02-03,Segunda B,Spain,23
Hercules,Ebro,2,3,2019-02-03,Segunda B,Spain,23
CESabadell,Atletico Baleares,0,0,2019-02-03,Segunda B,Spain,23
CD Badajoz,UD Ibiza,1,0,2019-02-03,Segunda B,Spain,23
Malaga B,CA Linense,0,1,2019-02-03,Segunda B,Spain,23
Calahorra,Real Oviedo II,1,0,2019-02-03,Segunda B,Spain,23
Burgos,CDGuijuelo,0,0,2019-02-03,Segunda B,Spain,23
Badalona,Cornella,1,0,2019-02-03,Segunda B,Spain,23
Melilla,CF Talavera,1,0,2019-02-03,Segunda B,Spain,23
RealValladolidB,Pontevedra,1,0,2019-02-03,Segunda B,Spain,23
Sevilla Atletico,Marbella,1,1,2019-02-03,Segunda B,Spain,23
Santander,CDIzarra,2,1,2019-02-03,Segunda B,Spain,23
Castellon,RCD Espanyol B,1,2,2019-02-03,Segunda B,Spain,23
Peralada,Barcelona B,2,0,2019-02-03,Segunda B,Spain,23
Salamanca,Real Madrid Castilla,1,4,2019-02-03,Segunda B,Spain,23
Almeria B,Granada CFB,0,0,2019-02-03,Segunda B,Spain,23
Cultural Leonesa,Atletico Madrid B,1,1,2019-02-03,Segunda B,Spain,23
Fuenlabrada,UD San Sebastian Reyes,1,1,2019-02-03,Segunda B,Spain,23
Celta Vigo B,Coruxo FC,2,2,2019-02-03,Segunda B,Spain,23
Internacional,Rapido Bouzas,1,0,2019-02-03,Segunda B,Spain,23
Lida,CD Teruel,0,2,2019-02-03,Segunda B,Spain,23
Rec de Huelva,Murcia Feminas,2,0,2019-02-03,Segunda B,Spain,23
At Sanluqueno,San Fernando,1,2,2019-02-03,Segunda B,Spain,23
Athletic Bilbao B,Leioa SD,2,1,2019-02-03,Segunda B,Spain,23
Durango,Arenas Getxo,0,1,2019-02-02,Segunda B,Spain,23
Real Union Irun,SD Gernika,1,1,2019-02-02,Segunda B,Spain,23
Valencia CFB,Levante B,0,1,2019-02-02,Segunda B,Spain,23
Marbella,Melilla,2,0,2019-01-27,Segunda B,Spain,22
Murcia Feminas,CD Badajoz,0,0,2019-01-27,Segunda B,Spain,22
Poli Ejido,At Sanluqueno,0,2,2019-01-27,Segunda B,Spain,22
CD Teruel,Badalona,0,0,2019-01-27,Segunda B,Spain,22
Atletico Baleares,Ejea,4,1,2019-01-27,Segunda B,Spain,22
UD San Sebastian Reyes,Celta Vigo B,1,1,2019-01-27,Segunda B,Spain,22
Atletico Madrid B,Salamanca,3,2,2019-01-27,Segunda B,Spain,22
RCD Espanyol B,Hercules,1,2,2019-01-27,Segunda B,Spain,22
Cornella,Valencia CFB,3,1,2019-01-27,Segunda B,Spain,22
SD Gernika,Calahorra,3,1,2019-01-27,Segunda B,Spain,22
CDIzarra,Victoria,1,1,2019-01-27,Segunda B,Spain,22
Ebro,Lida,0,0,2019-01-27,Segunda B,Spain,22
CA Linense,Almeria B,0,0,2019-01-27,Segunda B,Spain,22
Rapido Bouzas,RealValladolidB,0,0,2019-01-27,Segunda B,Spain,22
Las Palmas Atletico,Cultural Leonesa,1,1,2019-01-27,Segunda B,Spain,22
UD Logrones,UP Langreo,1,0,2019-01-27,Segunda B,Spain,22
San Fernando,Sevilla Atletico,3,0,2019-01-27,Segunda B,Spain,22
Pontevedra,CDANavalcarnero,2,0,2019-01-27,Segunda B,Spain,22
Salmantino Salamanca II,Burgos,0,1,2019-01-27,Segunda B,Spain,22
Cartagena FC,Rec de Huelva,0,0,2019-01-27,Segunda B,Spain,22
CF Talavera,Malaga B,0,1,2019-01-27,Segunda B,Spain,22
Levante B,UE Olot,1,0,2019-01-27,Segunda B,Spain,22
UD Ibiza,Villanovense,0,0,2019-01-27,Segunda B,Spain,22
Don Benito,UCAM Murcia,1,1,2019-01-27,Segunda B,Spain,22
Torrelavega,CD Tudelano,0,1,2019-01-27,Segunda B,Spain,22
Leioa SD,Real Union Irun,0,1,2019-01-26,Segunda B,Spain,22
CDGuijuelo,Ponferradina,2,2,2019-01-26,Segunda B,Spain,22
Coruxo FC,Internacional,1,0,2019-01-26,Segunda B,Spain,22
SD Amorebieta,Athletic Bilbao B,3,2,2019-01-26,Segunda B,Spain,22
Real Madrid Castilla,Adarve,1,0,2019-01-26,Segunda B,Spain,22
Barcelona B,CESabadell,5,1,2019-01-26,Segunda B,Spain,22
Real Sociedad B,BarakaldoCF,3,0,2019-01-26,Segunda B,Spain,22
VillarrealB,Castellon,0,0,2019-01-26,Segunda B,Spain,22
Arenas Getxo,Santander,0,1,2019-01-26,Segunda B,Spain,22
CESabadell,Conquense,1,0,2019-01-20,Segunda B,Spain,21
Almeria B,CF Talavera,2,2,2019-01-20,Segunda B,Spain,21
Salamanca,Las Palmas Atletico,3,0,2019-01-20,Segunda B,Spain,21
Badalona,Ebro,0,1,2019-01-20,Segunda B,Spain,21
Melilla,San Fernando,3,1,2019-01-20,Segunda B,Spain,21
UCAM Murcia,Granada CFB,3,0,2019-01-20,Segunda B,Spain,21
Lida,RCD Espanyol B,2,3,2019-01-20,Segunda B,Spain,21
Villanovense,Murcia Feminas,0,0,2019-01-20,Segunda B,Spain,21
UP Langreo,Real Oviedo II,1,0,2019-01-20,Segunda B,Spain,21
Ejea,Barcelona B,1,0,2019-01-20,Segunda B,Spain,21
At Sanluqueno,UD Ibiza,0,1,2019-01-20,Segunda B,Spain,21
Rec de Huelva,CD Badajoz,2,1,2019-01-20,Segunda B,Spain,21
Victoria,CD Tudelano,1,1,2019-01-20,Segunda B,Spain,21
Levante B,Cornella,0,0,2019-01-20,Segunda B,Spain,21
RealValladolidB,Coruxo FC,0,1,2019-01-20,Segunda B,Spain,21
Sevilla Atletico,Poli Ejido,1,0,2019-01-20,Segunda B,Spain,21
Malaga B,Marbella,0,1,2019-01-20,Segunda B,Spain,21
Cultural Leonesa,Pontevedra,2,1,2019-01-20,Segunda B,Spain,21
Alcoyano,Atletico Baleares,0,0,2019-01-20,Segunda B,Spain,21
Adarve,Burgos,1,0,2019-01-20,Segunda B,Spain,21
Celta Vigo B,Deportivo La Coruna B,2,0,2019-01-20,Segunda B,Spain,21
UE Olot,Peralada,2,1,2019-01-20,Segunda B,Spain,21
BarakaldoCF,UD Logrones,0,1,2019-01-20,Segunda B,Spain,21
Internacional,UD San Sebastian Reyes,3,6,2019-01-20,Segunda B,Spain,21
Cartagena FC,Don Benito,4,0,2019-01-20,Segunda B,Spain,21
Fuenlabrada,CDGuijuelo,3,0,2019-01-20,Segunda B,Spain,21
Ponferradina,Salmantino Salamanca II,0,1,2019-01-20,Segunda B,Spain,21
Calahorra,Leioa SD,0,1,2019-01-20,Segunda B,Spain,21
Real Madrid Castilla,Atletico Madrid B,1,3,2019-01-20,Segunda B,Spain,21
Sporting Gijon,SD Gernika,2,2,2019-01-19,Segunda B,Spain,21
Hercules,VillarrealB,2,1,2019-01-19,Segunda B,Spain,21
Valencia CFB,CD Teruel,1,1,2019-01-19,Segunda B,Spain,21
Athletic Bilbao B,Torrelavega,1,0,2019-01-19,Segunda B,Spain,21
CDIzarra,Arenas Getxo,1,0,2019-01-19,Segunda B,Spain,21
Durango,Real Sociedad B,1,3,2019-01-19,Segunda B,Spain,21
Real Union Irun,SD Amorebieta,1,1,2019-01-19,Segunda B,Spain,21
Atletico Madrid B,Adarve,2,0,2019-01-13,Segunda B,Spain,20
CA Linense,UCAM Murcia,0,2,2019-01-13,Segunda B,Spain,20
Rapido Bouzas,Cultural Leonesa,1,0,2019-01-13,Segunda B,Spain,20
Poli Ejido,Melilla,1,1,2019-01-13,Segunda B,Spain,20
Torrelavega,Real Union Irun,1,1,2019-01-13,Segunda B,Spain,20
Pontevedra,Salamanca,0,0,2019-01-13,Segunda B,Spain,20
Murcia Feminas,At Sanluqueno,1,0,2019-01-13,Segunda B,Spain,20
Real Oviedo II,BarakaldoCF,0,1,2019-01-13,Segunda B,Spain,20
Barcelona B,Alcoyano,2,0,2019-01-13,Segunda B,Spain,20
Don Benito,Rec de Huelva,0,2,2019-01-13,Segunda B,Spain,20
UD Ibiza,Sevilla Atletico,2,0,2019-01-13,Segunda B,Spain,20
Burgos,Ponferradina,2,0,2019-01-13,Segunda B,Spain,20
CD Teruel,Levante B,2,1,2019-01-13,Segunda B,Spain,20
Cornella,UE Olot,3,0,2019-01-13,Segunda B,Spain,20
CD Tudelano,Athletic Bilbao B,3,2,2019-01-13,Segunda B,Spain,20
RCD Espanyol B,Badalona,2,0,2019-01-13,Segunda B,Spain,20
Conquense,Ejea,0,3,2019-01-13,Segunda B,Spain,20
Arenas Getxo,Victoria,0,0,2019-01-13,Segunda B,Spain,20
Granada CFB,Cartagena FC,0,2,2019-01-13,Segunda B,Spain,20
Las Palmas Atletico,Real Madrid Castilla,0,0,2019-01-13,Segunda B,Spain,20
Marbella,Almeria B,2,0,2019-01-13,Segunda B,Spain,20
Ebro,Valencia CFB,2,1,2019-01-13,Segunda B,Spain,20
CDGuijuelo,Celta Vigo B,1,0,2019-01-13,Segunda B,Spain,20
Atletico Baleares,Castellon,0,0,2019-01-13,Segunda B,Spain,20
Coruxo FC,CDANavalcarnero,3,1,2019-01-13,Segunda B,Spain,20
San Fernando,Malaga B,1,2,2019-01-13,Segunda B,Spain,20
Peralada,CESabadell,2,0,2019-01-13,Segunda B,Spain,20
CD Badajoz,Villanovense,2,1,2019-01-13,Segunda B,Spain,20
Mirandes,CDIzarra,1,1,2019-01-13,Segunda B,Spain,20
UD San Sebastian Reyes,RealValladolidB,1,0,2019-01-13,Segunda B,Spain,20
Salmantino Salamanca II,Fuenlabrada,1,2,2019-01-13,Segunda B,Spain,20
Deportivo La Coruna B,Internacional,0,1,2019-01-12,Segunda B,Spain,20
SD Gernika,UP Langreo,1,1,2019-01-12,Segunda B,Spain,20
UD Logrones,Durango,1,0,2019-01-12,Segunda B,Spain,20
Leioa SD,Sporting Gijon,2,0,2019-01-12,Segunda B,Spain,20
SD Amorebieta,Calahorra,0,0,2019-01-12,Segunda B,Spain,20
Real Sociedad B,Santander,0,1,2019-01-12,Segunda B,Spain,20
VillarrealB,Lida,3,1,2019-01-12,Segunda B,Spain,20
Villanovense,Rec de Huelva,1,3,2019-01-07,Segunda B,Spain,19
Murcia Feminas,Sevilla Atletico,0,0,2019-01-07,Segunda B,Spain,19
Mirandes,Arenas Getxo,3,1,2019-01-07,Segunda B,Spain,19
CD Teruel,Cornella,0,2,2019-01-07,Segunda B,Spain,19
Burgos,Fuenlabrada,1,0,2019-01-07,Segunda B,Spain,19
CD Badajoz,At Sanluqueno,4,0,2019-01-07,Segunda B,Spain,19
CA Linense,Cartagena FC,0,1,2019-01-07,Segunda B,Spain,19
San Fernando,Almeria B,1,0,2019-01-07,Segunda B,Spain,19
Granada CFB,Don Benito,0,1,2019-01-07,Segunda B,Spain,19
Ebro,Levante B,1,1,2019-01-06,Segunda B,Spain,19
Coruxo FC,Cultural Leonesa,1,2,2019-01-06,Segunda B,Spain,19
Atletico Baleares,Hercules,2,0,2019-01-06,Segunda B,Spain,19
Peralada,Ejea,2,1,2019-01-06,Segunda B,Spain,19
Torrelavega,Calahorra,1,1,2019-01-06,Segunda B,Spain,19
Real Sociedad B,CDIzarra,3,0,2019-01-06,Segunda B,Spain,19
Real Oviedo II,Durango,3,1,2019-01-06,Segunda B,Spain,19
Rapido Bouzas,Salamanca,4,1,2019-01-06,Segunda B,Spain,19
SD Gernika,BarakaldoCF,0,1,2019-01-06,Segunda B,Spain,19
CESabadell,UE Olot,0,0,2019-01-06,Segunda B,Spain,19
UD San Sebastian Reyes,CDANavalcarnero,2,0,2019-01-06,Segunda B,Spain,19
Salmantino Salamanca II,Celta Vigo B,3,1,2019-01-06,Segunda B,Spain,19
UD Ibiza,Melilla,2,1,2019-01-06,Segunda B,Spain,19
Pontevedra,Real Madrid Castilla,3,0,2019-01-06,Segunda B,Spain,19
RCD Espanyol B,Valencia CFB,1,3,2019-01-06,Segunda B,Spain,19
CDGuijuelo,Internacional,0,0,2019-01-06,Segunda B,Spain,19
Barcelona B,Castellon,1,1,2019-01-06,Segunda B,Spain,19
CF Talavera,UCAM Murcia,0,0,2019-01-06,Segunda B,Spain,19
Deportivo La Coruna B,RealValladolidB,1,1,2019-01-06,Segunda B,Spain,19
Las Palmas Atletico,Atletico Madrid B,0,2,2019-01-06,Segunda B,Spain,19
Athletic Bilbao B,Victoria,2,0,2019-01-05,Segunda B,Spain,19
Leioa SD,UP Langreo,2,1,2019-01-05,Segunda B,Spain,19
SD Amorebieta,Sporting Gijon,0,1,2019-01-05,Segunda B,Spain,19
CD Tudelano,Real Union Irun,2,2,2019-01-05,Segunda B,Spain,19
UD Logrones,Santander,1,0,2019-01-05,Segunda B,Spain,19
VillarrealB,Badalona,1,0,2019-01-05,Segunda B,Spain,19
Sporting Gijon,Torrelavega,0,1,2018-12-22,Segunda B,Spain,18
CDIzarra,UD Logrones,0,0,2018-12-22,Segunda B,Spain,18
Sevilla Atletico,CD Badajoz,2,1,2018-12-22,Segunda B,Spain,18
Internacional,Salmantino Salamanca II,0,2,2018-12-22,Segunda B,Spain,18
UE Olot,CD Teruel,4,1,2018-12-22,Segunda B,Spain,18
Cornella,Ebro,3,1,2018-12-22,Segunda B,Spain,18
Santander,Real Oviedo II,1,1,2018-12-22,Segunda B,Spain,18
Malaga B,UD Ibiza,1,1,2018-12-22,Segunda B,Spain,18
Castellon,Conquense,1,0,2018-12-22,Segunda B,Spain,18
Levante B,RCD Espanyol B,2,2,2018-12-22,Segunda B,Spain,18
Calahorra,CD Tudelano,1,1,2018-12-22,Segunda B,Spain,18
Hercules,Barcelona B,0,0,2018-12-22,Segunda B,Spain,18
At Sanluqueno,Villanovense,2,2,2018-12-22,Segunda B,Spain,18
Salamanca,Coruxo FC,4,0,2018-12-22,Segunda B,Spain,18
UP Langreo,SD Amorebieta,3,0,2018-12-22,Segunda B,Spain,18
UCAM Murcia,Marbella,1,0,2018-12-22,Segunda B,Spain,18
RealValladolidB,CDGuijuelo,2,1,2018-12-22,Segunda B,Spain,18
Arenas Getxo,Real Sociedad B,0,2,2018-12-22,Segunda B,Spain,18
Cultural Leonesa,UD San Sebastian Reyes,0,0,2018-12-22,Segunda B,Spain,18
Adarve,Las Palmas Atletico,1,1,2018-12-22,Segunda B,Spain,18
Don Benito,CA Linense,2,2,2018-12-22,Segunda B,Spain,18
Valencia CFB,VillarrealB,0,1,2018-12-22,Segunda B,Spain,18
Ejea,CESabadell,2,1,2018-12-22,Segunda B,Spain,18
Melilla,Murcia Feminas,1,2,2018-12-22,Segunda B,Spain,18
Rec de Huelva,Granada CFB,2,1,2018-12-22,Segunda B,Spain,18
Cartagena FC,CF Talavera,1,0,2018-12-22,Segunda B,Spain,18
BarakaldoCF,Leioa SD,0,0,2018-12-22,Segunda B,Spain,18
Celta Vigo B,Burgos,0,1,2018-12-22,Segunda B,Spain,18
Lida,Atletico Baleares,3,2,2018-12-22,Segunda B,Spain,18
Real Union Irun,Athletic Bilbao B,1,0,2018-12-22,Segunda B,Spain,18
Atletico Madrid B,Pontevedra,2,0,2018-12-21,Segunda B,Spain,18
Real Madrid Castilla,Rapido Bouzas,2,1,2018-12-21,Segunda B,Spain,18
Peralada,Valencia CFB,1,1,2018-12-19,Segunda B,Spain,13
CESabadell,Alcoyano,0,1,2018-12-16,Segunda B,Spain,17
Murcia Feminas,Malaga B,2,0,2018-12-16,Segunda B,Spain,17
CA Linense,Granada CFB,1,0,2018-12-16,Segunda B,Spain,17
Villanovense,Sevilla Atletico,2,0,2018-12-16,Segunda B,Spain,17
Atletico Baleares,Badalona,1,0,2018-12-16,Segunda B,Spain,17
Marbella,Cartagena FC,0,2,2018-12-16,Segunda B,Spain,17
San Fernando,UCAM Murcia,2,0,2018-12-16,Segunda B,Spain,17
Rec de Huelva,At Sanluqueno,1,1,2018-12-16,Segunda B,Spain,17
CF Talavera,Don Benito,0,0,2018-12-16,Segunda B,Spain,17
Rapido Bouzas,Atletico Madrid B,0,1,2018-12-16,Segunda B,Spain,17
CD Badajoz,Melilla,1,0,2018-12-16,Segunda B,Spain,17
RCD Espanyol B,Cornella,0,0,2018-12-16,Segunda B,Spain,17
Conquense,Hercules,1,1,2018-12-16,Segunda B,Spain,17
UD Logrones,Arenas Getxo,0,0,2018-12-16,Segunda B,Spain,17
UE Olot,Ejea,1,0,2018-12-16,Segunda B,Spain,17
Torrelavega,UP Langreo,0,2,2018-12-16,Segunda B,Spain,17
Ebro,CD Teruel,2,1,2018-12-16,Segunda B,Spain,17
UD San Sebastian Reyes,Salamanca,1,2,2018-12-16,Segunda B,Spain,17
Real Sociedad B,Mirandes,0,1,2018-12-16,Segunda B,Spain,17
UD Ibiza,Almeria B,2,1,2018-12-16,Segunda B,Spain,17
Victoria,Real Union Irun,2,1,2018-12-16,Segunda B,Spain,17
Salmantino Salamanca II,RealValladolidB,0,0,2018-12-16,Segunda B,Spain,17
CD Tudelano,Sporting Gijon,1,0,2018-12-16,Segunda B,Spain,17
Coruxo FC,Real Madrid Castilla,2,1,2018-12-16,Segunda B,Spain,17
Real Oviedo II,CDIzarra,2,1,2018-12-16,Segunda B,Spain,17
Pontevedra,Las Palmas Atletico,1,0,2018-12-16,Segunda B,Spain,17
Deportivo La Coruna B,Cultural Leonesa,1,2,2018-12-16,Segunda B,Spain,17
CDGuijuelo,CDANavalcarnero,1,1,2018-12-16,Segunda B,Spain,17
Burgos,Internacional,2,2,2018-12-16,Segunda B,Spain,17
Athletic Bilbao B,Calahorra,3,2,2018-12-15,Segunda B,Spain,17
VillarrealB,Levante B,1,0,2018-12-15,Segunda B,Spain,17
Barcelona B,Lida,2,1,2018-12-15,Segunda B,Spain,17
Leioa SD,Durango,0,0,2018-12-15,Segunda B,Spain,17
SD Amorebieta,BarakaldoCF,2,0,2018-12-15,Segunda B,Spain,17
Ponferradina,Celta Vigo B,2,2,2018-12-15,Segunda B,Spain,17
Peralada,Castellon,2,1,2018-12-15,Segunda B,Spain,17
Real Sociedad B,Victoria,4,2,2018-12-09,Segunda B,Spain,16
Don Benito,Marbella,0,1,2018-12-09,Segunda B,Spain,16
Mirandes,UD Logrones,1,0,2018-12-09,Segunda B,Spain,16
Atletico Madrid B,Coruxo FC,1,1,2018-12-09,Segunda B,Spain,16
